,Feature Importance,Feature
0,0.2631383233065015,gdp_per_capita
1,0.17234895572376482,weight
2,0.1679688014504068,height
3,0.15655528009257144,age
4,0.02706182069939952,sex_athletics
5,0.014377371295396003,sex_aquatics
6,0.011844705575956172,sport_female
7,0.01175805886495869,sex_hockey
8,0.01121817812673309,sport_male
9,0.010396032526946578,sex_football
10,0.009560194264331596,sex_rugby sevens
11,0.009330129992327475,sex_canoe
12,0.008815314437460964,sex_rowing
13,0.008625751975115893,sex_cycling
14,0.00833069583869072,sex_judo
15,0.007981608387664853,sex_handball
16,0.007860897985654387,sex_wrestling
17,0.007791848958006172,sex_sailing
18,0.007743557490849267,sex_fencing
19,0.007575365375215382,sex_basketball
20,0.007417468197954341,sex_shooting
21,0.00709517387294622,sex_gymnastics
22,0.006711820983269285,sex_volleyball
23,0.006045282180160386,sex_weightlifting
24,0.005973518965083026,sex_badminton
25,0.005929891760220374,sex_taekwondo
26,0.005409699644398746,sex_tennis
27,0.004935075947784172,sex_equestrian
28,0.004544757600283687,sex_archery
29,0.004449934446678487,sex_table tennis
30,0.004445429939229107,sex_golf
31,0.003743112928757594,sex_triathlon
32,0.003015941165283341,sex_modern pentathlon
