,Feature Importance,Feature
0,0.13005712120629448,weight
1,0.12538646579433413,height
2,0.11474224280730859,age
3,0.10682478822265522,gdp_per_capita
4,0.02961240633725523,nationality_athletics
5,0.01936418787502373,sport_USA
6,0.01855402000296955,nationality_aquatics
7,0.01637699658305203,sex_male
8,0.014370928828254819,sport_GBR
9,0.01426912388370551,sex_female
10,0.014186323054331974,sport_GER
11,0.014007737011736006,nationality_football
12,0.013269902015124934,nationality_hockey
13,0.011324294388508653,nationality_cycling
14,0.011144997985263503,sport_RUS
15,0.010713921546435292,sport_CHN
16,0.010464296053969379,nationality_rugby sevens
17,0.009966764456654412,nationality_canoe
18,0.00967370004120384,nationality_sailing
19,0.009614428008347033,nationality_rowing
20,0.00886011556375356,nationality_judo
21,0.008748020037162421,nationality_volleyball
22,0.008708450110870085,sport_FRA
23,0.008689357909462224,sport_CAN
24,0.008295857422813418,sport_BRA
25,0.008134410667510394,nationality_handball
26,0.008062339692541543,nationality_basketball
27,0.007618708705020133,nationality_fencing
28,0.007340761671831475,nationality_shooting
29,0.007202718276545199,nationality_wrestling
30,0.0070877777502555426,sport_AUS
31,0.0070619085835876,nationality_gymnastics
32,0.006641676186862339,sport_JAM
33,0.006429109242726737,sport_ESP
34,0.006225448428164927,sport_JPN
35,0.005944896705131087,nationality_weightlifting
36,0.005936329013839584,nationality_badminton
37,0.005840554166154359,nationality_taekwondo
38,0.005710656714798217,nationality_equestrian
39,0.0054742353844193445,sport_NZL
40,0.005226843037678495,sport_ITA
41,0.005009293835341856,nationality_tennis
42,0.004973766758004506,sport_NED
43,0.004848654034210031,sport_POL
44,0.004796732413017255,sport_ARG
45,0.004403480037122548,sport_SWE
46,0.004177321791672228,sport_BEL
47,0.004086378084434163,nationality_table tennis
48,0.00395952379301456,nationality_golf
49,0.003906709733743731,nationality_archery
50,0.0037406462084179004,sport_RSA
51,0.003736051404066086,sport_KOR
52,0.003546443283934129,nationality_triathlon
53,0.0035137748286014243,sport_CRO
54,0.0033366974933392163,sport_MEX
55,0.0032580466088457634,nationality_modern pentathlon
56,0.003218801885048327,sport_DEN
57,0.0031762172762022016,sport_KEN
58,0.0028736897520784464,sport_HUN
